Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
130068 BOA VISTA DO RAMOS,,,2,3,4,2,9,10,3,4,,,
130070 BOCA DO ACRE,,,22,25,17,13,9,9,24,13,,,
130080 BORBA,,,10,4,8,15,38,29,38,-,,,
130083 CAAPIRANGA,,,4,2,7,9,3,8,5,7,,,
130090 CANUTAMA,,,4,1,5,5,5,-,-,-,,,
130100 CARAUARI,,,3,9,3,5,3,1,-,-,,,
130110 CAREIRO,,,14,11,9,8,3,5,8,10,,,
130115 CAREIRO DA VARZEA,,,1,-,-,-,-,-,-,1,,,
130120 COARI,,,43,8,22,12,18,8,24,-,,,
130130 CODAJAS,,,19,9,7,4,9,9,-,-,,,
130140 EIRUNEPE,,,9,8,10,9,-,-,-,-,,,
130150 ENVIRA,,,6,13,5,3,-,-,5,4,,,
130160 FONTE BOA,,,6,5,5,-,8,7,7,4,,,
130165 GUAJARA,,,4,9,7,12,12,9,9,-,,,
130170 HUMAITA,,,22,11,6,11,5,18,10,-,,,
130180 IPIXUNA,,,43,52,36,18,9,14,11,-,,,
130185 IRANDUBA,,,12,16,21,10,20,2,7,-,,,
130190 ITACOATIARA,,,72,33,6,7,8,15,2,-,,,
130195 ITAMARATI,,,-,-,-,-,-,8,4,-,,,
130200 ITAPIRANGA,,,15,4,3,9,4,1,7,4,,,
130210 JAPURA,,,5,2,3,1,2,1,-,2,,,
130220 JURUA,,,8,7,2,-,2,-,-,-,,,
130230 JUTAI,,,15,15,15,26,32,16,34,-,,,
130240 LABREA,,,16,14,11,7,10,11,17,5,,,
130250 MANACAPURU,,,52,41,21,20,31,27,43,18,,,
130255 MANAQUIRI,,,12,7,5,14,23,22,9,8,,,
130260 MANAUS,,,1154,846,736,788,841,656,505,208,,,
130270 MANICORE,,,10,5,13,10,12,19,10,2,,,
130280 MARAA,,,5,4,-,-,-,2,-,-,,,
130290 MAUES,,,38,20,19,16,29,28,-,-,,,
130300 NHAMUNDA,,,9,4,-,-,1,2,-,-,,,
130310 NOVA OLINDA DO NORTE,,,3,22,3,5,4,11,4,-,,,
130320 NOVO AIRAO,,,14,7,10,3,1,2,6,4,,,
130330 NOVO ARIPUANA,,,10,10,9,21,10,34,20,-,,,
130340 PARINTINS,,,42,32,5,7,10,8,11,-,,,
130350 PAUINI,,,10,21,2,1,-,-,4,7,,,
130353 PRESIDENTE FIGUEIREDO,,,21,6,3,8,2,2,3,-,,,
130356 RIO PRETO DA EVA,,,15,5,8,3,5,1,8,-,,,
130360 SANTA ISABEL DO RIO NEGRO,,,5,1,5,-,3,-,-,-,,,
130370 SANTO ANTONIO DO ICA,,,9,9,9,6,1,3,2,1,,,
130380 SAO GABRIEL DA CACHOEIRA,,,7,16,5,12,5,4,9,-,,,
130390 SAO PAULO DE OLIVENCA,,,28,8,9,4,3,1,2,7,,,
130395 SAO SEBASTIAO DO UATUMA,,,7,-,1,6,2,3,8,3,,,
130400 SILVES,,,11,4,4,6,4,5,12,7,,,
130406 TABATINGA,,,19,13,11,5,7,8,6,7,,,
130410 TAPAUA,,,42,9,11,13,22,15,9,-,,,
130420 TEFE,,,42,16,13,16,15,13,-,-,,,
130423 TONANTINS,,,20,30,12,12,13,18,29,21,,,
130426 UARINI,,,6,3,1,1,-,2,4,7,,,
130430 URUCARA,,,5,8,2,1,2,1,-,-,,,
130440 URUCURITUBA,,,2,-,-,-,1,-,6,-,,,
140002 AMAJARI,,,-,-,-,-,-,-,-,-,,,
140005 ALTO ALEGRE,,,1,2,1,1,6,2,4,1,,,
140010 BOA VISTA,,,412,234,233,156,135,117,87,22,,,
140015 BONFIM,,,1,-,-,-,-,-,-,-,,,
140017 CANTA,,,-,-,-,-,-,-,-,-,,,
140020 CARACARAI,,,-,3,2,2,1,1,3,-,,,
140023 CAROEBE,,,4,-,-,1,-,1,1,4,,,
140028 IRACEMA,,,-,-,-,-,-,-,-,-,,,
140030 MUCAJAI,,,-,-,-,-,-,-,-,-,,,
140040 NORMANDIA,,,4,4,-,1,1,1,1,1,,,
140045 PACARAIMA,,,2,5,1,4,9,2,1,2,,,
140047 RORAINOPOLIS,,,5,5,8,8,6,12,8,5,,,
140050 SAO JOAO DA BALIZA,,,1,-,2,-,2,5,5,2,,,
140060 SAO LUIZ,,,-,3,-,1,1,-,2,1,,,
140070 UIRAMUTA,,,-,-,-,-,-,-,-,-,,,
150010 ABAETETUBA,,,70,67,68,72,87,13,9,5,,,
150013 ABEL FIGUEIREDO,,,10,3,4,2,-,1,6,-,,,
150020 ACARA,,,16,9,14,17,15,8,12,10,,,
150030 AFUA,,,7,1,9,10,12,8,5,5,,,
150034 AGUA AZUL DO NORTE,,,27,10,6,3,5,8,5,3,,,
150040 ALENQUER,,,67,60,47,47,18,42,59,40,,,
150050 ALMEIRIM,,,21,20,9,5,15,32,24,-,,,
150060 ALTAMIRA,,,74,72,58,54,35,45,31,16,,,
150070 ANAJAS,,,23,15,14,10,17,7,12,11,,,
150080 ANANINDEUA,,,48,66,63,56,49,48,62,18,,,
150085 ANAPU,,,50,33,14,46,45,39,-,-,,,
150090 AUGUSTO CORREA,,,43,86,95,66,58,75,57,59,,,
150095 AURORA DO PARA,,,44,16,16,18,5,-,-,-,,,
150100 AVEIRO,,,-,-,-,-,-,-,-,-,,,
150110 BAGRE,,,7,3,-,-,2,6,6,-,,,
150120 BAIAO,,,21,38,33,40,61,71,37,-,,,
150125 BANNACH,,,6,-,-,1,1,2,3,-,,,
150130 BARCARENA,,,52,27,13,31,27,23,47,21,,,
150140 BELEM,,,1008,909,796,838,825,639,357,102,,,
150145 BELTERRA,,,8,7,3,6,6,7,6,1,,,
150150 BENEVIDES,,,-,-,-,-,-,-,-,-,,,
150157 BOM JESUS DO TOCANTINS,,,23,14,15,10,10,16,-,-,,,
150160 BONITO,,,-,-,-,-,-,-,-,-,,,
150170 BRAGANCA,,,164,198,175,172,138,120,116,106,,,
150172 BRASIL NOVO,,,58,87,59,52,48,51,42,-,,,
150175 BREJO GRANDE DO ARAGUAIA,,,12,6,18,4,8,5,-,-,,,
150178 BREU BRANCO,,,2,3,7,8,9,8,-,-,,,
150180 BREVES,,,44,56,32,43,52,47,50,6,,,
150190 BUJARU,,,-,-,-,-,-,-,-,-,,,
150195 CACHOEIRA DO PIRIA,,,-,-,-,-,-,-,-,-,,,
150200 CACHOEIRA DO ARARI,,,2,1,3,21,11,-,-,-,,,
150210 CAMETA,,,35,40,53,43,45,19,-,-,,,
150215 CANAA DOS CARAJAS,,,24,21,10,14,15,3,7,-,,,
150220 CAPANEMA,,,15,10,14,26,19,17,11,2,,,
150230 CAPITAO POCO,,,63,51,53,46,36,45,43,-,,,
150240 CASTANHAL,,,308,227,168,130,118,110,39,22,,,
150250 CHAVES,,,-,-,-,-,-,-,-,-,,,
150260 COLARES,,,-,-,-,-,-,-,-,-,,,
150270 CONCEICAO DO ARAGUAIA,,,90,65,60,42,51,43,70,38,,,
150275 CONCORDIA DO PARA,,,5,6,2,4,4,7,7,8,,,
150276 CUMARU DO NORTE,,,10,22,4,5,10,4,7,12,,,
150277 CURIONOPOLIS,,,13,13,14,11,-,-,-,-,,,
150280 CURRALINHO,,,21,14,6,6,11,15,-,-,,,
150285 CURUA,,,-,-,-,-,-,-,-,-,,,
150290 CURUCA,,,23,21,21,22,15,13,-,-,,,
150293 DOM ELISEU,,,39,36,16,25,17,5,-,-,,,
150295 ELDORADO DOS CARAJAS,,,15,17,15,13,29,17,20,-,,,
150300 FARO,,,-,3,6,8,3,3,4,3,,,
150304 FLORESTA DO ARAGUAIA,,,33,41,15,5,14,16,17,24,,,
150307 GARRAFAO DO NORTE,,,4,7,8,9,6,9,7,5,,,
150309 GOIANESIA DO PARA,,,43,17,10,10,16,17,-,-,,,
150310 GURUPA,,,9,10,14,23,22,10,4,7,,,
150320 IGARAPE-ACU,,,13,17,16,9,8,13,-,-,,,
150330 IGARAPE-MIRI,,,163,93,123,148,152,154,158,50,,,
150340 INHANGAPI,,,-,-,-,-,-,-,-,-,,,
150345 IPIXUNA DO PARA,,,58,30,39,38,36,39,44,12,,,
150350 IRITUIA,,,19,15,9,14,-,-,-,-,,,
150360 ITAITUBA,,,83,50,29,31,8,9,5,5,,,
150370 ITUPIRANGA,,,20,11,12,14,6,7,13,9,,,
150375 JACAREACANGA,,,-,26,12,10,3,11,7,4,,,
150380 JACUNDA,,,22,26,28,28,27,19,-,-,,,
150390 JURUTI,,,12,1,2,-,3,2,1,-,,,
150400 LIMOEIRO DO AJURU,,,23,16,18,29,26,22,36,18,,,
150405 MAE DO RIO,,,34,38,33,27,23,41,42,-,,,
150410 MAGALHAES BARATA,,,-,-,-,-,-,-,-,-,,,
150420 MARABA,,,143,75,65,37,45,44,28,3,,,
150430 MARACANA,,,6,1,3,1,-,2,1,-,,,
150440 MARAPANIM,,,3,3,1,2,1,1,3,-,,,
150442 MARITUBA,,,46,38,34,27,29,24,24,20,,,
150445 MEDICILANDIA,,,24,21,9,11,7,10,22,11,,,
150450 MELGACO,,,14,10,10,11,16,17,8,7,,,
150460 MOCAJUBA,,,33,51,46,41,26,28,26,-,,,
150470 MOJU,,,24,15,9,21,8,20,19,-,,,
150475 MOJUI DOS CAMPOS,,,-,-,-,-,-,-,-,-,,,
150480 MONTE ALEGRE,,,26,32,10,15,14,11,23,-,,,
150490 MUANA,,,29,9,12,7,8,-,-,-,,,
150495 NOVA ESPERANCA DO PIRIA,,,5,1,3,8,8,5,-,-,,,
150497 NOVA IPIXUNA,,,4,5,1,3,2,-,-,-,,,
150500 NOVA TIMBOTEUA,,,-,-,-,-,-,-,-,-,,,
150503 NOVO PROGRESSO,,,15,6,5,5,5,3,1,8,,,
150506 NOVO REPARTIMENTO,,,8,5,8,6,4,1,-,-,,,
150510 OBIDOS,,,32,34,31,32,24,29,-,-,,,
150520 OEIRAS DO PARA,,,13,17,10,11,17,19,18,1,,,
150530 ORIXIMINA,,,36,38,27,34,33,30,31,-,,,
150540 OUREM,,,13,8,16,15,9,11,5,-,,,
150543 OURILANDIA DO NORTE,,,70,50,57,25,27,13,56,16,,,
150548 PACAJA,,,31,41,18,18,19,-,-,-,,,
150549 PALESTINA DO PARA,,,22,4,-,-,-,-,-,-,,,
150550 PARAGOMINAS,,,56,33,12,11,9,14,10,-,,,
150553 PARAUAPEBAS,,,101,45,55,44,34,28,32,-,,,
150555 PAU D'ARCO,,,7,8,5,9,8,7,3,4,,,
150560 PEIXE-BOI,,,-,-,-,-,-,-,-,-,,,
150563 PICARRA,,,23,27,26,9,7,8,23,15,,,
150565 PLACAS,,,35,23,8,33,40,20,11,-,,,
150570 PONTA DE PEDRAS,,,24,22,11,9,12,42,33,-,,,
150580 PORTEL,,,14,15,14,7,3,-,-,-,,,
150590 PORTO DE MOZ,,,50,25,14,21,18,18,20,20,,,
150600 PRAINHA,,,18,4,16,6,6,-,-,-,,,
150610 PRIMAVERA,,,-,-,-,-,-,-,-,-,,,
150611 QUATIPURU,,,-,-,-,-,-,-,-,-,,,
150613 REDENCAO,,,116,94,55,37,36,31,43,27,,,
150616 RIO MARIA,,,37,7,3,6,2,8,6,2,,,
150618 RONDON DO PARA,,,80,72,57,50,69,74,58,27,,,
150619 RUROPOLIS,,,26,16,5,-,-,-,-,-,,,
150620 SALINOPOLIS,,,15,12,12,8,9,7,3,-,,,
150630 SALVATERRA,,,14,15,12,13,9,16,17,6,,,
150635 SANTA BARBARA DO PARA,,,-,-,-,-,-,-,-,-,,,
150640 SANTA CRUZ DO ARARI,,,5,11,2,8,8,10,10,10,,,
150650 SANTA IZABEL DO PARA,,,30,13,11,9,5,13,28,26,,,
150655 SANTA LUZIA DO PARA,,,-,-,-,-,-,-,-,-,,,
150658 SANTA MARIA DAS BARREIRAS,,,13,6,1,4,5,2,7,-,,,
150660 SANTA MARIA DO PARA,,,22,10,8,9,11,7,5,-,,,
150670 SANTANA DO ARAGUAIA,,,81,28,8,7,18,18,24,27,,,
150680 SANTAREM,,,140,105,59,39,46,35,19,5,,,
150690 SANTAREM NOVO,,,-,-,-,-,-,-,-,-,,,
150700 SANTO ANTONIO DO TAUA,,,154,94,143,159,241,215,204,34,,,
150710 SAO CAETANO DE ODIVELAS,,,-,-,-,-,-,-,-,-,,,
150715 SAO DOMINGOS DO ARAGUAIA,,,25,7,6,8,7,11,12,8,,,
150720 SAO DOMINGOS DO CAPIM,,,42,28,27,29,28,8,-,-,,,
150730 SAO FELIX DO XINGU,,,61,55,21,24,42,49,47,22,,,
150740 SAO FRANCISCO DO PARA,,,-,-,-,-,-,-,-,-,,,
150745 SAO GERALDO DO ARAGUAIA,,,26,29,32,20,-,-,-,-,,,
150746 SAO JOAO DA PONTA,,,-,-,-,-,-,-,-,-,,,
150747 SAO JOAO DE PIRABAS,,,9,8,4,-,11,6,8,-,,,
150750 SAO JOAO DO ARAGUAIA,,,2,2,2,4,6,6,4,9,,,
150760 SAO MIGUEL DO GUAMA,,,29,31,17,19,16,10,11,10,,,
150770 SAO SEBASTIAO DA BOA VISTA,,,-,28,19,19,21,16,11,17,,,
150775 SAPUCAIA,,,15,8,4,3,4,-,-,-,,,
150780 SENADOR JOSE PORFIRIO,,,7,7,8,3,6,15,-,-,,,
150790 SOURE,,,11,16,18,17,14,9,22,-,,,
150795 TAILANDIA,,,12,15,14,6,11,14,18,17,,,
150796 TERRA ALTA,,,-,-,-,-,-,-,-,-,,,
150797 TERRA SANTA,,,5,6,6,1,5,7,-,-,,,
150800 TOME-ACU,,,29,21,39,13,18,20,20,16,,,
150803 TRACUATEUA,,,23,22,25,14,25,12,12,23,,,
150805 TRAIRAO,,,56,23,18,9,18,26,23,11,,,
150808 TUCUMA,,,115,103,63,71,72,25,11,-,,,
150810 TUCURUI,,,43,19,8,7,15,9,10,-,,,
150812 ULIANOPOLIS,,,40,49,43,40,45,60,40,-,,,
150815 URUARA,,,36,44,22,34,28,18,22,-,,,
150820 VIGIA,,,35,26,14,13,45,48,34,-,,,
150830 VISEU,,,35,45,33,23,30,28,40,21,,,
150835 VITORIA DO XINGU,,,31,12,7,13,14,8,8,13,,,
150840 XINGUARA,,,75,32,13,8,12,20,12,19,,,
160005 SERRA DO NAVIO,,,-,-,-,-,-,-,-,-,,,
160010 AMAPA,,,2,3,4,3,4,2,2,-,,,
160015 PEDRA BRANCA DO AMAPARI,,,2,1,1,-,-,1,2,-,,,
160020 CALCOENE,,,-,1,2,6,3,1,6,-,,,
160021 CUTIAS,,,-,-,-,-,-,-,-,-,,,
160023 FERREIRA GOMES,,,-,-,-,3,2,3,-,-,,,
160025 ITAUBAL,,,-,-,-,-,-,-,-,-,,,
160027 LARANJAL DO JARI,,,43,17,34,29,38,20,23,-,,,
160030 MACAPA,,,285,161,91,73,81,76,102,-,,,
160040 MAZAGAO,,,-,-,-,-,-,2,2,-,,,
160050 OIAPOQUE,,,10,18,12,14,20,8,9,-,,,
160053 PORTO GRANDE,,,3,7,8,2,4,6,-,-,,,
160055 PRACUUBA,,,-,-,-,-,-,-,-,-,,,
160060 SANTANA,,,171,89,53,31,9,-,-,-,,,
160070 TARTARUGALZINHO,,,3,6,2,-,1,-,2,-,,,
160080 VITORIA DO JARI,,,-,-,-,-,-,-,-,-,,,
170025 ABREULANDIA,,,-,-,-,-,-,-,-,-,,,
170030 AGUIARNOPOLIS,,,-,-,-,-,-,-,-,-,,,
170035 ALIANCA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170040 ALMAS,,,-,-,-,-,-,-,-,-,,,
170070 ALVORADA,,,8,9,4,1,5,1,-,-,,,
170100 ANANAS,,,2,-,4,3,5,1,1,3,,,
170105 ANGICO,,,-,-,-,-,-,-,-,-,,,
170110 APARECIDA DO RIO NEGRO,,,-,-,-,-,-,-,-,-,,,
170130 ARAGOMINAS,,,-,-,-,-,-,-,-,-,,,
170190 ARAGUACEMA,,,2,9,5,3,2,-,-,-,,,
170200 ARAGUACU,,,6,3,-,7,6,2,1,-,,,
170210 ARAGUAINA,,,312,158,158,126,120,111,66,15,,,
170215 ARAGUANA,,,-,-,-,-,-,-,-,-,,,
170220 ARAGUATINS,,,16,23,10,9,11,13,20,-,,,
170230 ARAPOEMA,,,34,24,16,12,5,8,-,-,,,
170240 ARRAIAS,,,12,7,-,7,-,-,-,-,,,
170255 AUGUSTINOPOLIS,,,35,23,21,7,-,-,-,-,,,
170270 AURORA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170290 AXIXA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170300 BABACULANDIA,,,-,-,-,-,-,-,-,-,,,
170305 BANDEIRANTES DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170307 BARRA DO OURO,,,-,-,-,-,-,-,-,-,,,
170310 BARROLANDIA,,,-,-,-,-,-,-,-,-,,,
170320 BERNARDO SAYAO,,,-,-,-,-,-,-,-,-,,,
170330 BOM JESUS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170360 BRASILANDIA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170370 BREJINHO DE NAZARE,,,-,-,-,-,-,-,-,-,,,
170380 BURITI DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170382 CACHOEIRINHA,,,-,-,-,-,-,-,-,-,,,
170384 CAMPOS LINDOS,,,-,-,-,-,-,-,-,-,,,
170386 CARIRI DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170388 CARMOLANDIA,,,-,-,-,-,-,-,-,-,,,
170389 CARRASCO BONITO,,,-,-,-,-,-,-,-,-,,,
170390 CASEARA,,,-,-,-,-,-,-,-,-,,,
170410 CENTENARIO,,,-,-,-,-,-,-,-,-,,,
170460 CHAPADA DE AREIA,,,-,-,-,-,-,-,-,-,,,
170510 CHAPADA DA NATIVIDADE,,,-,-,-,-,-,-,-,-,,,
170550 COLINAS DO TOCANTINS,,,28,27,9,6,15,19,10,5,,,
170555 COMBINADO,,,-,-,-,-,-,-,-,-,,,
170560 CONCEICAO DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170600 COUTO MAGALHAES,,,-,-,-,-,-,-,-,-,,,
170610 CRISTALANDIA,,,-,-,-,-,-,-,-,-,,,
170625 CRIXAS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170650 DARCINOPOLIS,,,-,-,-,-,-,-,-,-,,,
170700 DIANOPOLIS,,,5,3,7,3,3,1,-,-,,,
170710 DIVINOPOLIS DO TOCANTINS,,,20,15,19,-,6,11,8,10,,,
170720 DOIS IRMAOS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
170730 DUERE,,,-,-,-,-,-,-,-,-,,,
170740 ESPERANTINA,,,-,-,-,-,-,-,-,-,,,
170755 FATIMA,,,-,-,-,-,-,-,-,-,,,
170765 FIGUEIROPOLIS,,,-,-,-,-,-,-,-,-,,,
170770 FILADELFIA,,,2,-,-,-,-,-,-,-,,,
170820 FORMOSO DO ARAGUAIA,,,7,1,3,6,4,5,11,7,,,
170825 FORTALEZA DO TABOCAO,,,-,-,-,-,-,-,-,-,,,
170830 GOIANORTE,,,-,-,-,-,-,-,-,-,,,
170900 GOIATINS,,,-,-,-,-,-,-,-,-,,,
170930 GUARAI,,,23,11,8,9,-,1,-,-,,,
170950 GURUPI,,,119,81,33,31,13,12,7,-,,,
170980 IPUEIRAS,,,-,-,-,-,-,-,-,-,,,
171050 ITACAJA,,,-,-,-,-,-,-,-,-,,,
171070 ITAGUATINS,,,-,-,-,-,-,-,-,-,,,
171090 ITAPIRATINS,,,-,-,-,-,-,-,-,-,,,
171110 ITAPORA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171150 JAU DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171180 JUARINA,,,-,-,-,-,-,-,-,-,,,
171190 LAGOA DA CONFUSAO,,,-,-,-,-,-,-,-,-,,,
171195 LAGOA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171200 LAJEADO,,,-,-,-,-,-,-,-,-,,,
171215 LAVANDEIRA,,,-,-,-,-,-,-,-,-,,,
171240 LIZARDA,,,-,-,-,-,-,-,-,-,,,
171245 LUZINOPOLIS,,,-,-,-,-,-,-,-,-,,,
171250 MARIANOPOLIS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171270 MATEIROS,,,-,-,-,-,-,-,-,-,,,
171280 MAURILANDIA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171320 MIRACEMA DO TOCANTINS,,,54,35,16,10,7,7,5,-,,,
171330 MIRANORTE,,,-,-,-,-,-,-,-,-,,,
171360 MONTE DO CARMO,,,9,3,1,3,1,-,5,-,,,
171370 MONTE SANTO DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171380 PALMEIRAS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171395 MURICILANDIA,,,-,-,-,-,-,-,-,-,,,
171420 NATIVIDADE,,,-,2,1,2,2,-,-,-,,,
171430 NAZARE,,,-,-,-,-,-,-,-,-,,,
171488 NOVA OLINDA,,,-,-,-,-,-,-,-,-,,,
171500 NOVA ROSALANDIA,,,-,-,-,-,-,-,-,-,,,
171510 NOVO ACORDO,,,-,-,-,-,-,-,-,-,,,
171515 NOVO ALEGRE,,,-,-,-,-,-,-,-,-,,,
171525 NOVO JARDIM,,,-,-,-,-,-,-,-,-,,,
171550 OLIVEIRA DE FATIMA,,,-,-,-,-,-,-,-,-,,,
171570 PALMEIRANTE,,,-,-,-,-,-,-,-,-,,,
171575 PALMEIROPOLIS,,,-,-,-,-,1,2,1,-,,,
