Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
330380 PARATY;30;15;49;42;43;28;15;22;20;11;9;9;21;11;11;19;12;13;13;5
330385 PATY DO ALFERES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330390 PETROPOLIS;259;212;384;390;341;233;171;213;169;69;49;54;194;154;81;79;62;55;51;-
330395 PINHEIRAL;11;9;30;38;35;16;10;7;6;5;3;3;5;4;-;5;3;1;4;1
330400 PIRAI;27;19;53;48;34;49;29;24;15;14;9;11;20;12;12;4;11;13;14;7
330410 PORCIUNCULA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330411 PORTO REAL;13;16;13;25;26;19;9;8;11;7;6;5;9;7;7;3;7;3;4;1
330412 QUATIS;17;5;9;16;11;14;5;6;6;-;4;7;9;1;3;3;4;7;5;-
330414 QUEIMADOS;207;161;213;302;281;89;294;287;255;224;229;168;274;256;225;240;245;254;252;261
330415 QUISSAMA;45;23;61;76;56;34;35;28;25;19;9;13;19;19;10;7;9;5;5;1
330420 RESENDE;98;76;131;124;117;109;67;86;85;44;36;26;94;44;34;35;33;33;45;30
330430 RIO BONITO;31;12;43;72;36;12;52;33;20;25;19;8;34;12;21;25;16;16;19;14
330440 RIO CLARO;15;7;19;43;17;12;7;4;15;8;4;-;2;5;-;1;-;1;3;-
330450 RIO DAS FLORES;8;6;11;18;11;1;4;7;8;-;-;-;10;8;11;8;2;5;2;1
330452 RIO DAS OSTRAS;103;82;259;178;59;25;28;49;44;27;17;16;49;27;8;10;11;9;7;7
330455 RIO DE JANEIRO;2450;1702;3309;3902;3578;2798;2533;2917;2021;1193;1156;1186;2381;1301;1337;1083;1217;994;921;341
330460 SANTA MARIA MADALENA;2;13;24;21;9;6;6;6;3;1;1;-;3;6;-;3;4;6;3;-
330470 SANTO ANTONIO DE PADUA;60;36;97;88;101;77;58;66;67;56;69;65;76;88;77;69;69;46;-;-
330475 SAO FRANCISCO DE ITABAPOANA;19;23;69;73;80;39;37;30;27;16;7;6;19;17;9;5;-;-;-;-
330480 SAO FIDELIS;50;24;54;64;64;45;36;33;41;31;24;37;43;31;21;4;6;3;9;9
330490 SAO GONCALO;458;383;616;732;726;505;347;383;357;266;197;200;429;189;152;176;164;187;142;103
330500 SAO JOAO DA BARRA;49;34;74;52;99;82;38;41;42;20;12;12;26;33;9;8;14;10;12;10
330510 SAO JOAO DE MERITI;11;27;105;109;144;86;73;105;36;24;12;19;49;21;36;25;27;30;11;3
330513 SAO JOSE DE UBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330515 SAO JOSE DO VALE DO RIO PRETO;17;10;26;21;44;19;8;7;6;2;2;8;11;6;-;1;5;2;3;-
330520 SAO PEDRO DA ALDEIA;-;-;-;-;-;-;-;-;1;4;2;2;5;2;4;4;3;6;3;-
330530 SAO SEBASTIAO DO ALTO;9;2;18;22;14;19;19;24;11;10;8;3;15;15;12;13;10;11;9;6
330540 SAPUCAIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330550 SAQUAREMA;69;83;79;103;136;94;55;73;35;52;48;44;44;33;24;37;44;28;14;-
330555 SEROPEDICA;21;13;59;64;84;53;30;38;26;16;2;8;33;4;1;1;-;8;2;1
330560 SILVA JARDIM;11;7;23;18;14;8;2;7;6;1;2;3;8;1;2;4;2;3;2;1
330570 SUMIDOURO;19;11;39;21;14;14;12;17;2;3;1;1;15;9;2;2;3;1;-;-
330575 TANGUA;-;-;-;-;-;15;14;10;8;15;6;11;19;3;6;7;5;5;5;4
330580 TERESOPOLIS;131;117;278;262;193;161;150;176;95;87;58;73;79;50;54;70;87;63;77;36
330590 TRAJANO DE MORAES;16;4;12;12;14;14;14;6;4;11;4;8;4;7;7;5;9;5;13;2
330600 TRES RIOS;34;36;49;40;44;35;28;24;24;8;12;9;34;33;13;15;17;21;10;14
330610 VALENCA;64;64;158;146;151;64;55;64;67;41;39;24;60;48;36;30;32;15;6;2
330615 VARRE-SAI;3;-;2;-;2;2;-;2;-;-;1;3;3;1;2;3;4;2;3;-
330620 VASSOURAS;25;32;160;162;139;70;49;62;56;35;26;31;68;62;28;31;34;33;21;-
330630 VOLTA REDONDA;521;250;765;835;789;411;200;249;187;158;134;103;293;180;112;91;94;189;110;26
350010 ADAMANTINA;60;62;84;95;96;95;46;34;25;36;32;23;54;57;41;42;46;42;30;15
350020 ADOLFO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350030 AGUAI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350040 AGUAS DA PRATA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350050 AGUAS DE LINDOIA;19;13;22;36;40;57;18;9;5;7;4;4;19;13;6;14;8;10;5;2
350055 AGUAS DE SANTA BARBARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350060 AGUAS DE SAO PEDRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350070 AGUDOS;3;1;4;3;2;2;3;3;4;2;6;3;2;1;3;5;5;2;1;1
350075 ALAMBARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350080 ALFREDO MARCONDES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350090 ALTAIR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350100 ALTINOPOLIS;9;12;18;19;18;21;8;6;4;4;3;4;10;7;2;1;3;3;7;4
350110 ALTO ALEGRE;1;2;11;7;22;11;1;4;-;1;3;7;9;3;4;1;1;-;-;-
350115 ALUMINIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350120 ALVARES FLORENCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350130 ALVARES MACHADO;7;7;30;32;32;47;20;5;8;9;8;7;20;19;4;3;6;4;14;5
350140 ALVARO DE CARVALHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350150 ALVINLANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350160 AMERICANA;69;62;172;109;131;206;106;53;47;22;25;29;113;38;26;31;38;27;19;11
350170 AMERICO BRASILIENSE;20;45;75;124;120;103;112;75;40;37;27;29;54;63;59;62;62;37;31;31
350180 AMERICO DE CAMPOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350190 AMPARO;81;52;105;120;153;124;64;35;36;17;21;15;58;35;17;7;19;30;26;8
350200 ANALANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350210 ANDRADINA;23;31;74;109;116;106;55;24;15;7;9;8;42;33;14;15;14;10;8;5
350220 ANGATUBA;25;53;132;53;26;61;32;11;6;11;10;4;30;18;4;9;12;8;4;3
350230 ANHEMBI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350240 ANHUMAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350250 APARECIDA;84;68;172;154;131;130;84;55;33;12;11;13;46;41;12;10;10;7;16;4
350260 APARECIDA D'OESTE;-;1;16;9;3;1;3;3;-;-;-;1;1;2;17;7;10;-;1;-
350270 APIAI;59;64;67;52;60;82;48;32;6;13;5;5;52;31;11;6;11;4;3;6
350275 ARACARIGUAMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350280 ARACATUBA;122;116;317;192;189;166;193;196;76;49;46;40;125;81;50;58;61;36;36;28
350290 ARACOIABA DA SERRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350300 ARAMINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350310 ARANDU;-;-;-;-;-;-;-;1;1;-;4;1;1;2;-;-;-;1;2;1
350315 ARAPEI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350320 ARARAQUARA;185;341;359;298;296;270;206;78;44;41;44;38;106;76;79;110;98;36;26;24
350330 ARARAS;66;70;133;114;93;130;66;17;28;29;21;26;71;35;25;25;22;15;23;8
350335 ARCO-IRIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350340 AREALVA;1;1;1;-;2;7;1;-;-;-;-;-;-;-;-;-;1;2;1;-
350350 AREIAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350360 AREIOPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350370 ARIRANHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350380 ARTUR NOGUEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350390 ARUJA;14;14;97;88;148;135;61;39;29;16;15;9;32;8;2;4;2;2;1;2
350395 ASPASIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350400 ASSIS;111;137;259;244;302;234;132;101;52;49;33;33;28;38;39;36;33;25;24;13
350410 ATIBAIA;11;10;86;71;84;100;64;22;10;9;12;10;38;25;11;15;5;12;7;6
350420 AURIFLAMA;24;37;78;44;27;26;26;8;7;16;10;3;29;26;25;40;22;24;8;1
350430 AVAI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350440 AVANHANDAVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350450 AVARE;75;69;116;122;106;105;67;48;36;25;23;18;64;44;26;20;1;-;-;-
350460 BADY BASSITT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350470 BALBINOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350480 BALSAMO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350490 BANANAL;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350500 BARAO DE ANTONINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350510 BARBOSA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350520 BARIRI;50;71;103;35;41;46;17;8;10;7;4;5;15;11;4;4;2;2;-;-
350530 BARRA BONITA;54;60;54;46;63;94;45;24;13;7;13;9;25;17;13;13;10;15;9;3
350535 BARRA DO CHAPEU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350540 BARRA DO TURVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350550 BARRETOS;120;221;246;252;287;287;211;120;48;50;37;30;30;30;31;50;57;46;36;36
350560 BARRINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350570 BARUERI;374;342;1231;772;684;587;260;156;122;127;97;97;236;126;120;113;66;81;66;54
350580 BASTOS;20;11;37;49;13;17;12;19;21;18;15;9;12;15;22;43;44;18;22;10
350590 BATATAIS;39;41;72;61;70;55;45;30;31;16;13;13;35;31;25;32;34;26;25;16
350600 BAURU;334;326;538;639;583;588;391;186;109;108;90;134;226;188;106;73;118;158;103;42
350610 BEBEDOURO;135;149;204;198;291;219;167;72;41;25;21;31;74;52;35;24;38;52;49;23
350620 BENTO DE ABREU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350630 BERNARDINO DE CAMPOS;49;13;44;60;44;56;33;14;7;1;6;5;29;18;5;6;10;6;9;6
350635 BERTIOGA;24;61;125;58;54;39;14;20;21;37;18;14;34;10;14;14;13;5;16;12
350640 BILAC;4;4;21;14;11;12;4;4;1;-;1;1;1;4;6;2;2;-;1;1
350650 BIRIGUI;81;62;59;58;58;67;34;52;31;29;12;17;50;34;28;41;26;23;21;18
350660 BIRITIBA-MIRIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350670 BOA ESPERANCA DO SUL;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;1;5;1;1;-
350680 BOCAINA;23;21;12;7;2;8;-;3;-;-;-;1;5;-;-;1;1;-;-;-
350690 BOFETE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350700 BOITUVA;33;17;41;68;88;63;26;4;2;1;4;3;9;5;4;2;5;6;3;2
350710 BOM JESUS DOS PERDOES;3;3;29;15;14;20;2;-;2;2;1;-;9;2;5;1;1;5;1;1
350715 BOM SUCESSO DE ITARARE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350720 BORA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350730 BORACEIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350740 BORBOREMA;10;27;16;26;40;37;3;2;4;3;4;2;16;9;12;40;20;8;8;4
350745 BOREBI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350750 BOTUCATU;314;280;357;304;333;361;276;266;277;243;233;213;309;274;244;236;271;226;186;69
350760 BRAGANCA PAULISTA;239;202;261;216;273;262;249;187;92;60;38;57;81;54;25;36;38;31;35;25
350770 BRAUNA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350775 BREJO ALEGRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350780 BRODOWSKI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350790 BROTAS;25;24;33;25;4;8;5;5;4;2;1;4;21;9;5;5;9;2;3;1
350800 BURI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350810 BURITAMA;27;8;31;30;19;15;18;7;4;5;10;4;12;15;11;5;7;6;9;4
350820 BURITIZAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350830 CABRALIA PAULISTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350840 CABREUVA;-;1;5;5;15;7;6;1;-;-;-;1;1;-;-;-;-;-;-;-
350850 CACAPAVA;36;19;63;61;81;48;9;10;16;7;5;6;37;14;4;7;5;7;-;-
350860 CACHOEIRA PAULISTA;12;24;46;33;47;23;14;14;8;6;1;4;21;16;2;3;4;1;-;1
350870 CACONDE;16;3;32;29;18;34;9;4;13;4;8;6;-;3;5;2;6;6;13;1
350880 CAFELANDIA;27;35;23;5;5;28;25;14;3;7;5;1;4;1;1;2;3;-;-;-
350890 CAIABU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350900 CAIEIRAS;33;22;118;102;98;98;41;17;11;11;8;16;27;10;12;8;14;-;7;1
350910 CAIUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350920 CAJAMAR;4;4;13;27;27;18;14;7;1;11;7;10;4;3;5;1;3;11;7;2
350925 CAJATI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350930 CAJOBI;10;12;20;9;13;13;5;7;3;4;3;5;7;6;1;-;-;-;-;-
350940 CAJURU;54;27;75;95;113;80;51;35;11;16;23;32;59;43;10;14;15;12;10;10
350945 CAMPINA DO MONTE ALEGRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350950 CAMPINAS;693;841;1497;1099;1078;1201;924;719;537;353;265;286;647;566;349;392;354;283;187;50
350960 CAMPO LIMPO PAULISTA;38;19;9;15;42;84;63;25;18;12;21;6;37;14;11;6;17;24;29;14
350970 CAMPOS DO JORDAO;62;52;76;71;90;73;68;47;43;45;20;23;37;46;20;29;25;28;25;31
350980 CAMPOS NOVOS PAULISTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350990 CANANEIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350995 CANAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351000 CANDIDO MOTA;17;7;44;71;82;51;22;12;11;8;10;3;19;15;6;5;10;2;1;5
351010 CANDIDO RODRIGUES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351015 CANITAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351020 CAPAO BONITO;24;25;52;42;78;113;32;13;11;5;9;10;43;31;19;10;20;14;18;6
351030 CAPELA DO ALTO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351040 CAPIVARI;41;22;51;73;86;104;30;14;9;7;12;7;21;8;7;2;10;11;11;6
351050 CARAGUATATUBA;446;297;515;569;590;444;293;124;108;114;105;105;256;95;39;33;44;43;18;29
351060 CARAPICUIBA;83;65;149;166;104;116;62;55;39;29;29;33;51;36;43;33;44;60;40;32
351070 CARDOSO;-;1;12;8;9;30;17;18;-;-;-;2;7;6;6;-;3;2;2;1
351080 CASA BRANCA;14;20;18;7;17;39;41;55;33;27;20;32;76;76;25;18;47;54;8;5
351090 CASSIA DOS COQUEIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351100 CASTILHO;20;23;41;58;57;25;33;9;4;4;4;1;12;5;4;6;5;1;2;2
351110 CATANDUVA;191;159;201;213;224;235;216;148;94;122;115;116;131;158;124;100;118;78;48;28
351120 CATIGUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351130 CEDRAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351140 CERQUEIRA CESAR;11;12;30;17;40;49;11;4;3;8;2;5;11;9;2;4;13;2;-;-
351150 CERQUILHO;30;32;62;47;47;81;28;11;6;6;-;1;14;5;2;2;2;2;3;-
351160 CESARIO LANGE;16;9;77;53;60;67;24;19;5;2;4;1;29;15;11;3;14;3;8;4
351170 CHARQUEADA;4;8;15;17;18;7;9;3;1;4;1;-;2;3;7;3;11;1;3;1
351190 CLEMENTINA;7;12;19;7;15;17;4;-;1;1;-;-;2;-;6;6;4;1;-;-
351200 COLINA;10;19;33;28;23;36;42;18;3;4;3;2;4;12;3;6;13;5;3;8
351210 COLOMBIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351220 CONCHAL;9;8;26;14;27;32;16;4;3;5;4;6;17;11;3;4;8;-;1;3
351230 CONCHAS;-;-;-;-;-;-;-;-;1;3;1;-;6;4;-;-;7;8;8;3
351240 CORDEIROPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351250 COROADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351260 CORONEL MACEDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351270 CORUMBATAI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351280 COSMOPOLIS;11;15;57;54;34;34;27;17;3;10;7;2;10;12;5;8;6;8;4;4
351290 COSMORAMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351300 COTIA;130;131;178;164;134;151;90;72;65;63;55;42;70;55;40;28;34;25;43;19
351310 CRAVINHOS;18;14;24;26;32;27;5;1;1;2;5;1;10;2;-;2;-;-;-;-
351320 CRISTAIS PAULISTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351330 CRUZALIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351340 CRUZEIRO;122;89;146;141;134;105;75;59;49;28;25;38;92;55;29;24;26;35;20;-
351350 CUBATAO;46;48;104;97;87;69;34;18;34;37;16;24;35;19;27;25;22;22;22;10
351360 CUNHA;22;26;34;28;45;36;28;18;19;14;14;14;39;31;15;11;17;17;14;11
351370 DESCALVADO;31;23;39;56;61;62;31;22;7;3;7;9;21;13;14;14;14;16;13;3
351380 DIADEMA;183;195;442;317;332;286;162;121;103;90;98;122;178;69;76;72;57;45;59;17
351385 DIRCE REIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351390 DIVINOLANDIA;5;26;104;11;25;14;4;-;-;3;1;1;5;2;2;1;3;-;1;1
351400 DOBRADA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351410 DOIS CORREGOS;33;34;27;25;16;23;18;5;6;2;8;8;11;11;11;7;10;18;5;3
351420 DOLCINOPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351430 DOURADO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351440 DRACENA;59;84;127;100;125;125;88;48;30;31;20;21;37;37;43;41;48;26;25;25
351450 DUARTINA;14;3;28;19;29;29;22;10;8;9;11;7;5;19;17;14;8;5;10;3
351460 DUMONT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351470 ECHAPORA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351480 ELDORADO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351490 ELIAS FAUSTO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351492 ELISIARIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351495 EMBAUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351500 EMBU DAS ARTES;107;103;258;320;329;206;96;38;44;37;23;18;83;33;9;12;14;6;16;7
351510 EMBU-GUACU;27;11;44;65;42;34;15;6;2;9;3;2;7;4;3;-;3;13;9;10
351512 EMILIANOPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351515 ENGENHEIRO COELHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351518 ESPIRITO SANTO DO PINHAL;40;37;58;42;52;38;33;12;15;14;9;11;21;11;12;13;10;8;13;11
351519 ESPIRITO SANTO DO TURVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351520 ESTRELA D'OESTE;-;-;-;1;2;2;1;1;2;-;-;2;2;3;4;9;9;2;9;8
351530 ESTRELA DO NORTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351535 EUCLIDES DA CUNHA PAULISTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351540 FARTURA;19;8;15;29;34;27;7;7;3;1;5;3;4;17;3;6;7;8;5;1
351550 FERNANDOPOLIS;78;96;106;102;99;110;83;57;26;19;24;21;28;29;37;30;31;27;20;21
351560 FERNANDO PRESTES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351565 FERNAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351570 FERRAZ DE VASCONCELOS;103;98;280;172;133;106;55;40;35;23;23;31;37;26;27;30;39;44;37;16
351580 FLORA RICA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351590 FLOREAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351600 FLORIDA PAULISTA;3;6;39;24;23;11;2;-;3;2;6;1;5;7;3;5;9;3;2;-
351610 FLORINIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351620 FRANCA;209;198;217;200;313;254;203;149;137;112;94;113;167;142;129;105;98;62;67;54
351630 FRANCISCO MORATO;75;66;208;111;97;106;61;25;25;19;16;17;43;14;20;31;16;16;22;16
351640 FRANCO DA ROCHA;40;18;35;179;154;158;98;55;44;41;22;45;59;32;18;13;10;13;9;5
351650 GABRIEL MONTEIRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351660 GALIA;-;1;4;9;28;22;3;3;2;1;-;-;1;6;3;4;1;1;1;-
351670 GARCA;26;19;27;36;49;51;25;17;21;11;6;3;8;6;31;57;28;7;-;-
351680 GASTAO VIDIGAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351685 GAVIAO PEIXOTO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351690 GENERAL SALGADO;1;1;17;15;17;31;29;12;2;2;2;1;14;8;20;23;6;1;1;2
351700 GETULINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351710 GLICERIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351720 GUAICARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351730 GUAIMBE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351740 GUAIRA;7;13;56;46;39;39;49;28;9;10;6;5;15;14;14;16;8;16;7;2
351750 GUAPIACU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351760 GUAPIARA;8;34;56;5;11;27;4;2;1;1;2;1;3;3;5;3;3;1;2;-
351770 GUARA;19;8;37;26;37;42;31;12;8;7;4;4;17;10;1;3;6;-;-;-
351780 GUARACAI;-;4;18;10;6;7;-;2;2;1;-;2;14;6;18;22;9;2;-;-
351790 GUARACI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351800 GUARANI D'OESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351810 GUARANTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351820 GUARARAPES;10;8;57;45;50;42;26;6;10;8;3;5;16;13;11;19;11;6;10;-
351830 GUARAREMA;36;22;50;63;65;59;33;16;8;10;1;7;20;23;5;5;11;7;3;2
351840 GUARATINGUETA;142;103;175;233;258;230;166;78;63;30;32;22;122;56;32;28;32;26;15;10
351850 GUAREI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351860 GUARIBA;19;24;47;43;44;36;18;16;9;3;5;1;17;12;8;16;11;7;4;6
351870 GUARUJA;74;93;146;184;147;109;87;88;86;96;81;92;112;96;69;80;91;74;78;53
351880 GUARULHOS;554;532;888;788;716;558;388;280;249;184;190;175;442;253;161;143;147;226;211;58
351885 GUATAPARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351890 GUZOLANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351900 HERCULANDIA;15;25;24;45;57;40;24;20;19;18;18;15;32;27;27;22;31;30;17;12
351905 HOLAMBRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351907 HORTOLANDIA;96;121;263;178;145;171;121;85;54;30;21;34;66;7;11;13;12;4;9;3
351910 IACANGA;1;-;1;1;-;-;-;-;1;1;-;1;-;1;-;2;1;1;-;-
351920 IACRI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351925 IARAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
351930 IBATE;18;33;56;33;1;23;9;8;-;3;1;4;5;6;8;4;6;6;5;1
351940 IBIRA;-;1;14;35;66;53;32;16;3;2;4;4;9;19;14;29;25;1;3;8
351950 IBIRAREMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
